CLASSE,TEXTE_AUTRE
Application Mobile/Ch.net,demande de crédit soit prise en charge sur l'app ou sur site
Service en agence,souci sur le réseau
Application Mobile/Ch.net,application
Application Mobile/Ch.net,l'amélioration des virements via l'application
Service en agence,les prélèvements / clôture de compte
Service en agence,service en ligne
Application Mobile/Ch.net,une autre carte qui est liée au compte paypal au lieu de la i-card
Application Mobile/Ch.net,blocage au niveau de l application
Service en agence,formation des agents au niveau des agences + amélioration au niveau de bp entreprises
Service en agence,amélioration des services aux agences
Frais élevés des produits et services,les frais des relevés
Attente en agence,augmentation de nombre de personnel
Service en agence,comportement des agents 
Service en agence,ajouter des agents au niveau des agences
Service en agence,les versements et les opérations hors agence initiale
Attente en agence,fediliser les clients fideles
Application Mobile/Ch.net,la mise a jours de solde
Problèmes Gab,augmentation d'effectif sur les agences/ rénovation des gab
Application Mobile/Ch.net,digitalisation des services + amélioration de l'affichage des services au niveau de l'application et le site
Service en agence,i-card
Service en agence,augmenter le plafond des paiement tpe
Attente en agence,augmenter le nombre des agences
Service en agence,en cas de chèque impayé
Service en agence,plus de personnel en agence
Service en agence,avoir une seule carte spécial qui s'occupe pour les paiements nationaux et iternationnaux
Service en agence,le client insatisfait pour la procédure de crédit immo et le service
Attente en agence,le client souhaite le suivi des agents avec les clients au niveau d'agence 
Service en agence,le client a trouvé des problèmes pour la demande de mutation de compte . la demande en attente ca fait 4 mois
Service en agence,au niveau des foramtion des agents /un manque d'information
Service en agence,prb réseaux agence
Service en agence,résoudre les problèmes de système en agence
Service en agence,les prelevements
Application Mobile/Ch.net,frais injustifié
Problèmes Gab,amelioration des ecrans de guichet ( la lumière /tactile ..) / améliorer les versements depuis les guichets
Application Mobile/Ch.net,retard de la comptabilisation
Service en agence,le comportement des directeurs des agences
Service en agence,le retard délivrance de chèque
Problèmes Gab,souci gab le week
Attente en agence,reseaux
Service en agence,le client souhaite rajouter plusieurs agence au niveau de la ville benslimane
Service en agence,lenteur de service panoramique
Frais élevés des produits et services,retrait 20dh et 50dh
Service en agence,horaire agence
Service en agence,retard de la demande mutation de compte
Service en agence,detail sur les retraits sur le compte / les pochettes de la carte bancaire
Service en agence,plus de personnel dans les régions populaire
Attente en agence,réseau au niveau d'agence
Service en agence,retard de mutation de compte
Service en agence,retard sur clôture de compte
Service en agence,virements
Application Mobile/Ch.net,retard de la comptabilisation
Service en agence,comportement agence
Application Mobile/Ch.net,plafond de la dotation
Service en agence,la carte retrait journalier inssufisant
"Améliorer l'offre crédit(taux,process,time)",minimiser le taux d'intérêt
Service en agence,facilité de récupérer les relevés bancaires sur quelque soit l'agence de la bp
Attente en agence,plus de personnel en agence
Service en agence,la réactivation des personnels
Problèmes Gab,la possibilité de retirer 4000dh d'un seul coup
Service en agence,ajoutez d'autres agences
Attente en agence,la non disponibilite des agences par telephone
Application Mobile/Ch.net,la digitalisation des services
Problèmes Gab,diminuer des taux de crédit / la rapidité / le suivi ou la réactivité
Service en agence,les prélèvements
Service en agence,demande de mutation non prise en charge
Problèmes Gab,file d'attente / gab pour le dépôt d'argent
Application Mobile/Ch.net,amélioration du système de l'app
"Améliorer l'offre crédit(taux,process,time)",le délai les traitement des demandes et les facilités pour les demandes sur les crédits
Application Mobile/Ch.net,l'activation de la dotation touristique en ligne
Service en agence,retard délivrance de chéquier
Application Mobile/Ch.net,frais injustifié
Application Mobile/Ch.net,chaabi mobile
Attente en agence,le manque des caissiers dans les agences
Service en agence,réseaux au niveau d'agences
Frais élevés des produits et services,agios
Application Mobile/Ch.net,résoudre le problème des montants en blocage
Application Mobile/Ch.net,chaabi mobile
Attente en agence,non cloture de compte quand il y a pas de movements
Service en agence,communiquer les clients si le compte reste
Frais élevés des produits et services,prélèvement
Service en agence,mauvaise comportement des personnels
Problèmes Gab,dépôt d'argent au gab au niveau de tout les agences
"Améliorer l'offre crédit(taux,process,time)",crédit sans intérêt pour les coopérative/association
Service en agence,comportement du personnel
Frais élevés des produits et services,les plafonds des cartes
Application Mobile/Ch.net,éliminer les frais de transfert cash
Application Mobile/Ch.net,amélioration du digital
Service en agence,traitement des demandes à distance
Frais élevés des produits et services,souscription d'assurance sans permission
Problèmes Gab,réception des alertes sms à temps
Service en agence,paiement par carte sur internet ajouter un autre moyen d'authentification par mail
Service en agence,comportement agence
Problèmes Gab,problème du système
Frais élevés des produits et services,frais des produits d'epargne
Frais élevés des produits et services,"traitement des demandes, beaucoup de commission"
Attente en agence,système au niveau de l'agence en panne 
Application Mobile/Ch.net,les virements permanents
Application Mobile/Ch.net,le retard de comptabilisation
Problèmes Gab,retard
Problèmes Gab,frais retrait gab interbancaire
Application Mobile/Ch.net,souci synchronisation
Application Mobile/Ch.net,retard comptabilisation
Problèmes Gab,gab hors service / non alimenté
Service en agence,la gestion du portefeuille de client / trouver des solutions / la communication de l'agence avec les clients
Service en agence,retard de comptabilisation
Application Mobile/Ch.net,*visibilité des chèques
Application Mobile/Ch.net,retard de comptabilisation des virements
Service en agence,le comportement des agents
Application Mobile/Ch.net,retard chaabi mobile
Service en agence,retrait déplacé
Application Mobile/Ch.net,chaabi mobile
Frais élevés des produits et services,frais gratuits pour les etudiants
Problèmes Gab,eclairage non visible sur les guichets
Service en agence,les agents de l'agence
Frais élevés des produits et services,les cartes bancaires
Service en agence,l'effectif au niveau des agences 
Application Mobile/Ch.net,trop de frais /
Application Mobile/Ch.net,retard de délivrance carte
Application Mobile/Ch.net,ajout de service oncf et la patente sur la rubrique paiement sur l'application
Application Mobile/Ch.net,retard de comptabilisation et retard de l'application
Application Mobile/Ch.net,chaabi mobile
Application Mobile/Ch.net,frais de services application
Application Mobile/Ch.net,la digitalisation
Service en agence,frais de retrait
Service en agence,systeme down au niveau des agences
Application Mobile/Ch.net,retard de comptabilisation / synchronisation
Service en agence,changement de personnel au niveau des agences 
Service en agence,les directeurs des agences fument au sein de l'agence
"Améliorer l'offre crédit(taux,process,time)",pour les tpe
Attente en agence,manque du personnel au niveau de l'agence
Attente en agence,manque de personnel au niveau de l'agence
"Améliorer l'offre crédit(taux,process,time)",aucune suggestion
Application Mobile/Ch.net,chaabi mobile
Problèmes Gab,recommandation : versement au niveau de guichet
Service en agence,systeme ko
Service en agence,comportement personnel
Service en agence,systeme ko
Application Mobile/Ch.net,recalcul de carte bancaire à travers l'app
Frais élevés des produits et services,les plafonds des cartes 
Service en agence,inclure la dotation e-commerce dans la meme carte sans avoir besoin de la i-card
Frais élevés des produits et services,les prélèvements mensuels
Service en agence,systeme ko
Problèmes Gab,les gab au week-end et les jours fériés
Service en agence,systeme ko
Frais élevés des produits et services,les achats en ligne par carte 
Application Mobile/Ch.net,chaabi mobile
Application Mobile/Ch.net,retard de comptabilisation
Application Mobile/Ch.net,retraits documents cachetés sans se déplacer
Application Mobile/Ch.net,retard de synchronisation et comptabilisation
Service en agence,comportement personnel
Service en agence,l'effectif au niveau de l'agence 
Application Mobile/Ch.net,la commission des factures
Service en agence,le comportement de personnel au niveau de l'agence 
Service en agence,appeler les clients pour leurs proposer des produits
Application Mobile/Ch.net,retard réception virement vers banque populaire
Application Mobile/Ch.net,le délai de comptabilisation des opérations 
Attente en agence,ralenti de suysteme
Frais élevés des produits et services,l'effectif de personnel au niveau de l'agence 
Service en agence,comportement personnel
Attente en agence,retard de comptabilisation  / digitaliser tout service au niveau d'agence
Service en agence,agence en permanence samedi matin
Application Mobile/Ch.net,améliorer le service à distance en ligne
Problèmes Gab,+gab vide  +améliorer l'offre crédit
Service en agence,retard des virements
Attente en agence,le système est ko la plupart du temps
Attente en agence,facilité du traitement
"Améliorer l'offre crédit(taux,process,time)",plus d'offres de crédit pour les professions libéraux
Service en agence,le probléme de systeme au niveau des agences
Attente en agence,plus d'agents de caisse
"Améliorer l'offre crédit(taux,process,time)",credits yousr
Application Mobile/Ch.net,retrait des clients déplassés
Application Mobile/Ch.net,prendre tous types de documentation juste au niveau de l'application
Attente en agence,plus d'agents sur les agences
Service en agence,lecomportement envers les clients dépassés
Problèmes Gab,alimenter les guichets
Problèmes Gab,+ajouter des agences
Application Mobile/Ch.net,retard de mise à jour au niveau de l'application
Problèmes Gab,+gab vide
Application Mobile/Ch.net,informer les clients en cas du changement du plafond de la carte bancaire
Service en agence,avoir
Application Mobile/Ch.net,le souci de paiement non abouti et montant hors mansour sur pocket bank et chaabi net
Application Mobile/Ch.net,améliorer l'app
Frais élevés des produits et services,+ frais élevés + mieux communiquer avec le client + délivrance de la carte bancaire de n'importe quelle agence
Application Mobile/Ch.net,la rapidité des mise a jours
Problèmes Gab,+récupération de la carte guichet
Service en agence,traitement de demande
Service en agence,les sms pour les opérations plus rapide
Service en agence,mauvais comportement du personnels de l'agence
Application Mobile/Ch.net,améliorer l application
Attente en agence,manque de personnel et long file
Service en agence,pack sans frais pour les retraités
Service en agence,+ les frais des produits et services
Application Mobile/Ch.net,ajouter l'effectif/ améliorer l'application
Attente en agence,+ retard de virement
Application Mobile/Ch.net,améliorer l'application
Application Mobile/Ch.net,réseau des agences
Application Mobile/Ch.net,système de comtabilisation
Problèmes Gab,le comportement du personnel
Problèmes Gab,+ attente
Application Mobile/Ch.net,chaabi mobile
Service en agence,sms
Service en agence,comportement personnels au sein d'agence
Application Mobile/Ch.net,+ l'agence ne répond pas au téléphone
Service en agence,l'agence ne répond pas au fixe
"Améliorer l'offre crédit(taux,process,time)",retard de réponse par rapport le dossier de crédit
Problèmes Gab,plus de gab sur zagoura
Attente en agence,+ retard de carnet de chèque
Attente en agence,soucis de systeme toujours au niveau de l'agence
Attente en agence,plus d'agents au niveau de l'agence
Application Mobile/Ch.net,bug l'application
Service en agence,le client réclame pour le plafond de la carte souhaite plus que 2000dh
Service en agence,des offres pour les femmes
Service en agence,comportement de l'agence
Service en agence,joignabilité au téléphone
Application Mobile/Ch.net,retard de la comptabilite
Service en agence,l'agence impose des produits sans accord du client
Application Mobile/Ch.net,les prélèvements non justifiés
Problèmes Gab,"manque d'agences, et gab"
Application Mobile/Ch.net,ameliorer la qualite des services en ligne
Attente en agence,et le réseaux au niveau de l'agence
Application Mobile/Ch.net,retard des salaires
Problèmes Gab,service gab
Attente en agence,le client réclame pour le comportement des agents et les frais très élevé de transfert cash vers agence
Problèmes Gab,soucis de guichet
Problèmes Gab,gab
Application Mobile/Ch.net,l'activation de la dotation
Service en agence,envois des offres par mails ou bien par sms
Problèmes Gab,service gab
Attente en agence,manque des agents
Service en agence,un besoin de personnel 
Application Mobile/Ch.net,le clkient réclame pour l’espèce il a pas trouvé d’espèce au niveau d'agence le jour même 
Application Mobile/Ch.net,la cliente souhaite que la comptabilisation des opérations soit  à ajour
Service en agence,améliorer l'acceuil au niveau de l'agence
Service en agence,insatisfait concernant
Application Mobile/Ch.net,retard de virement
Service en agence,améliorer le service au niveau de l'agence
Problèmes Gab,guichet
Service en agence,la communication avec les clients par les agents de l'agence
Application Mobile/Ch.net,retard des virements
Attente en agence,prb prélèvements
Service en agence,en cas de mutation de compte
Service en agence,ajout de l'effectifs
Service en agence,retard de demande de mutation de compte
Service en agence,et le retard des sms
Service en agence,attestation rib
Application Mobile/Ch.net,prélèvements trop relevés
Application Mobile/Ch.net,chaabi net
Application Mobile/Ch.net,digitaliser les servies  avec l'explication et la communication avec les clients
Attente en agence,il faut travailler sur la digitalisation des opérations chèques
Service en agence,informer le client plus des produits souscris sur le compte
Application Mobile/Ch.net,mise à jours de l'application + les réclamation doivent être en charge
Service en agence,les facilités de caisse + prélévement carte à fin de mois
Service en agence,et l'amélioration des paiements international
Application Mobile/Ch.net,application un peu compliquee
Service en agence,augmentation des plafonds des cartes
Service en agence,améliorer le service qualité au niveau de l'agence
Service en agence,le mauvais comportement des agents
Application Mobile/Ch.net,virement instantanée à n'importe quel moment
Service en agence,le comportement des agents en agence
Application Mobile/Ch.net,tout est bien
Application Mobile/Ch.net,ajouter le service de mutation de compte
Application Mobile/Ch.net,application pocket bank
Service en agence,tout est bien
Application Mobile/Ch.net,faire des publicités pour les infos des cartes
Attente en agence,manque des agents
Service en agence,attestation de versement
Application Mobile/Ch.net,et l'application pour les relevés bancaires 
Application Mobile/Ch.net,augmentation du plafond de la dotation
Service en agence,recrutement des agents pour les agences 
Application Mobile/Ch.net,non réception de code de confirmation
Application Mobile/Ch.net,et les factures qui ne s'appariaient pas au niveau de l'application pocket bank
Application Mobile/Ch.net,retard virement
Application Mobile/Ch.net,l'application à améliorer / comptabilisation des opérations doit être instantanée  / communication des informations sur
Service en agence,+ facilité pour les crédits
Attente en agence,manque des agents
Application Mobile/Ch.net,application mobile
Service en agence,mutation de compte
Service en agence,il faut baisser les frais des produits et services
Application Mobile/Ch.net,les frais sont très élevés par rapport aux concurrents
Service en agence,auto-entrepreneur
Problèmes Gab,le guichet vide du fond en weekends et les périodes d'el aïd
Service en agence,joignabilité sur téléphone
Service en agence,soucis au niveau du système
Service en agence,(credit)
Application Mobile/Ch.net,introduire le crédit immob in sine
Service en agence,retard virement
Service en agence,remplacement de personnel qui sont en congé au niveau de l'agence
Attente en agence,soucis de systeme
Service en agence,services électroniques
Application Mobile/Ch.net,l'application pocket
Service en agence,retard des virements weekend
Application Mobile/Ch.net,retard de réception sms
Attente en agence,les anomalies au niveau de système
Problèmes Gab,"ajouter des guichets pour effectuer des opérations (ver,remise de chèque...) après l'horaire normal des agences"
Problèmes Gab,"cibler plus les jeunes , ssouci au niveau des guichets automatique"
Problèmes Gab,soucis au niveau guichet automatique à bournazil agence najah
Service en agence,agence ne répond pas sur téléphone
Service en agence,tout est bien sauf au cas de anomalie l'agence qui doit appeler le client et non pas le contraire 
Service en agence,améliorer le service de qualité au niveau de l'agence
Application Mobile/Ch.net,retard de réception sms
Attente en agence,soucis de commisiion
Service en agence,soucis au niveau du système
Service en agence,les envois postaux chaque mois
Service en agence,comportement du personnels en agence
Application Mobile/Ch.net,application mobile
Application Mobile/Ch.net,service agence
Application Mobile/Ch.net,abonnement au niveau d'agence
Service en agence,comportement de agents
Application Mobile/Ch.net,frais élevé
Attente en agence,ajouter l'effectif des agents en agence
Application Mobile/Ch.net,ajouter l'option de changement d'adresse email
Application Mobile/Ch.net,la créativité et l'innovation au niveau des produits
Application Mobile/Ch.net,bpentreprise.net
Application Mobile/Ch.net,0
Application Mobile/Ch.net,faire des collaborations
Service en agence,des offres pour les jeunes
Service en agence,bon service avec les clients
Service en agence,la communication
Service en agence,tout est bien sauf le client a trouvé des problèmes a l’étranger reming ca marche pas 
Service en agence,il faut confirmer avec le client pour chaque changement sur son compte
Service en agence,ajouter des offres pour les jeunes
Problèmes Gab,prb guichet automatique
Service en agence,possibilité de liaison du compte paypal avec le compte bp
Application Mobile/Ch.net,tarification des packs
Problèmes Gab,guichet
Application Mobile/Ch.net,application
Attente en agence,retard demande de mutation de compte
Application Mobile/Ch.net,les anomalies sur l'application chaque début du mois 
Problèmes Gab,portefeuilles cartes guichets + gab vide les weekends
Application Mobile/Ch.net,beug
Service en agence,la carte pour les retraités
Application Mobile/Ch.net,tout et bien
Attente en agence,le manque d'information
Service en agence,facilites pour les crédits
Problèmes Gab,gab 
Application Mobile/Ch.net,les prélèvements 
Service en agence,et répondre sur le fixe de l'agence
Application Mobile/Ch.net,à améliorer
Service en agence,durée de remise de chèque / paiement des factures
Application Mobile/Ch.net,améliorer le service bp bourse
Problèmes Gab,soucis au niveau des gab à errachidia
Application Mobile/Ch.net,ajouter sur l'application le marchand qui occupe la branche d'eau à had soualem
Application Mobile/Ch.net,tout est bien
Problèmes Gab,gab inexistant agence
Service en agence,le mauvais comportement des agents
Problèmes Gab,prb guichets automatique
Application Mobile/Ch.net,effectuer toutes les opérations sur le site chaabi net
Attente en agence,les frais des packs
Application Mobile/Ch.net,mise à jour app
Problèmes Gab,soucis au niveau du gab en panne à daroua
"Améliorer l'offre crédit(taux,process,time)",souhaite bénéficier d'un crédit malgré le revenu est a 1800dh
Service en agence,"encaissement des cheque dans n'importe qu'elle agence bp , augmenté le plafonds des retraits des cartes bancaires"
Service en agence,comportement  personnels
Application Mobile/Ch.net,retard comptabilisation
Service en agence,"manque personnels ,"
Service en agence,service d'agence a distance
Service en agence,manque personnel
Attente en agence,banque unique / plafond de retrait par carte
Frais élevés des produits et services,la gratuité des alertes sms
Frais élevés des produits et services,les frais packs
Frais élevés des produits et services,des prevements injustifier
Service en agence,le traitement des employés avec les clients
Service en agence,la facilite des services
Application Mobile/Ch.net,les cartes monétiques
Frais élevés des produits et services,retard de comptabilisation
Application Mobile/Ch.net,problème virement
"Améliorer l'offre crédit(taux,process,time)",acceptation des dossiers crédit
Service en agence,versement depuis l'agence
Attente en agence,manque personnels
Problèmes Gab,alimentation des gab (weekend)
Application Mobile/Ch.net,comptabilisation des montants
Frais élevés des produits et services,taux crédit élevée
Application Mobile/Ch.net,chaabi mobile
Service en agence,système
Application Mobile/Ch.net,"paiement , retard de comptabilisation"
Application Mobile/Ch.net,la comptabilisation des opérations
Application Mobile/Ch.net,la comptabilisation des opérations
Service en agence,retard des mutations  de compte
Problèmes Gab,mutation de compte
Problèmes Gab,problème affichage
Application Mobile/Ch.net,la sécurité
Application Mobile/Ch.net,affichage erroné du solde
Application Mobile/Ch.net,update de l'application pb
Service en agence,pas d'agence dans les zones rurales
Frais élevés des produits et services,frais carte monétique
Service en agence,manque personnels
Frais élevés des produits et services,trop commissions
Frais élevés des produits et services,commissions
Service en agence,comportement personnels
Problèmes Gab,retrait déplacé
Application Mobile/Ch.net,développement
Service en agence,comportemment personnel
Service en agence,le changements des personnels
Service en agence,manque personnels
Problèmes Gab,rénovations des guichets
Service en agence,comptabilisation des opérations le jour même
Frais élevés des produits et services,les prélèvements
Service en agence,comportement personnels (sécurité )
Service en agence,comportement personnels
Service en agence,des appels sortant pour faire des investissements avec les montants qui sont dans les comptes sur carnet
Service en agence,comportements personnels
Frais élevés des produits et services,des prélèvements injustifié
Service en agence,personnel
Service en agence,l'accompagnements des clients
Service en agence,comportement agence
Problèmes Gab,digitalisation des gab
Service en agence,nombre de personnel
Attente en agence,manque d'effectif
Service en agence,manque des agents de caisse
"Améliorer l'offre crédit(taux,process,time)",credit  conso
Attente en agence,manque des caissiers
Application Mobile/Ch.net,chaabi mobile
Service en agence,demande carte bancaire dans  n'importe agnece
Service en agence,améliorer système bancaire
Service en agence,manque personnels
"Améliorer l'offre crédit(taux,process,time)",pour les jeunes
Service en agence,pour les clients déplacé dans n'importe  d'agence
Problèmes Gab,améliorer le systeme bancaire
Frais élevés des produits et services,la facilité de caisse
Frais élevés des produits et services,les frais élevé des carte et gestion de compte
Application Mobile/Ch.net,les services a distance
Application Mobile/Ch.net,développement pocket bank
Frais élevés des produits et services,frais packs
Frais élevés des produits et services,frais élevé service interbancaire
Service en agence,sécurité des compte
Frais élevés des produits et services,envoi postal
Service en agence,l'attente
"Améliorer l'offre crédit(taux,process,time)",conso
Application Mobile/Ch.net,virement permanent
Attente en agence,manque de personnel
"Améliorer l'offre crédit(taux,process,time)",diminution intérêt débiteurs
Service en agence,système ko
Frais élevés des produits et services,communication des infos clients
Problèmes Gab,un seul guichet dans la ville ain atiq et reste la plupart de temps hors service
Application Mobile/Ch.net,transparence et digitalisation pocket bank
Service en agence,améliorer le système bancaire
Application Mobile/Ch.net,comptabilisation des operations
"Améliorer l'offre crédit(taux,process,time)",les frais packs
Application Mobile/Ch.net,virement
Service en agence,comportement du personnel agence
Service en agence,conventions
Problèmes Gab,versement depuis le gab
Attente en agence,manque personnels
Service en agence,comportement personnels
Problèmes Gab,soucis au niveau du guichet twin center toujours hors service
Problèmes Gab,retard de la comptabilisation
Service en agence,clôture de compte
Application Mobile/Ch.net,apple face
Problèmes Gab,alimentation des gab
Service en agence,souci cnx système  d'agence
Service en agence,comportement personnels
Application Mobile/Ch.net,chèque n'importe quelle agence
Application Mobile/Ch.net,frais non justifiés / paiement cnss depuis l'application
Service en agence,répondre les clts par téléphone
"Améliorer l'offre crédit(taux,process,time)",sans intérêt
Service en agence,comportement personnels
Problèmes Gab,retard de comptabilisation
"Améliorer l'offre crédit(taux,process,time)",pour les retraites
Service en agence,crédit sans intérêt
Application Mobile/Ch.net,les prélévements
Service en agence,manque de personnel
Application Mobile/Ch.net,signature électronique des relevés sur application / augmenter capacité gab
Frais élevés des produits et services,les prélèvements
Problèmes Gab,"les alertes sms (retard d'envoi) , plafond carte"
Service en agence,la rapidité des services
Service en agence,"manque de personnel , communication"
Problèmes Gab,"les prélèvements non justifies , soucis de système et de connexion au niveau de l'agence"
Frais élevés des produits et services,les prélèvements
Problèmes Gab,pas assez de gab dans la ville youssoufia
Service en agence,cloture de compte automatique après 1 mois
Application Mobile/Ch.net,chaabi net
Service en agence,l'agence répond au téléphone
Application Mobile/Ch.net,application pocket bank
Frais élevés des produits et services,commissions
Application Mobile/Ch.net,retard de comptabilisation
Service en agence,la proximité
Service en agence,retrait avec un chèque
Problèmes Gab,hors service
Service en agence,digitaliser la procédure
Service en agence,traitement de cheque au niveau des agences permanent samedi
Application Mobile/Ch.net,soucis système solde
Service en agence,souci réseau
Service en agence,ajouter des conseillers en été à la banque
Attente en agence,système nul en agence  / retard de réception de virement
Service en agence,retard de la comptabilisation
Service en agence,"système , blocage d'argent"
Service en agence,manques du personnels au niveau de l'agence
Service en agence,caisse
Application Mobile/Ch.net,améliorer le service monétique
Application Mobile/Ch.net,temps de traitement du dossier de crédit
"Améliorer l'offre crédit(taux,process,time)",résoudre souci de résaux en agence
Application Mobile/Ch.net,paiement
Application Mobile/Ch.net,possibilité de faire des virements via application avec un montant moins de 100dh
Problèmes Gab,les guichets au niveau des petites villes
Service en agence,amélioration de service au niveau d'agence
Service en agence,récupération carte monétique
Application Mobile/Ch.net,les virements
Frais élevés des produits et services,virement executes  jours ouvrables
Application Mobile/Ch.net,le design de l'application
Service en agence,service sur d'autre agences
Attente en agence,améliorer le système bancaire
Application Mobile/Ch.net,virement pocket bank
Problèmes Gab,augmenter plafond retrait carte prima
Application Mobile/Ch.net,manque d'effectif en agence
Attente en agence,manque du personnel
"Améliorer l'offre crédit(taux,process,time)",avance
Frais élevés des produits et services,retard de comptabilisation
"Améliorer l'offre crédit(taux,process,time)",des facilite des crédits
Service en agence,comportement personnels
Frais élevés des produits et services,securite  de  compte
Application Mobile/Ch.net,paiement
Service en agence,coomportement personnels
Service en agence,système
Application Mobile/Ch.net,chaabi mobile
Problèmes Gab,dans week end
Application Mobile/Ch.net,monétique
Problèmes Gab,"disponibilité des gab , services monétique"
Application Mobile/Ch.net,traitement des service dans n'importe agence
Application Mobile/Ch.net,digitalisation bancaire
Application Mobile/Ch.net,retard de la comptabilisation des opérations
Attente en agence,manque de personnel
Application Mobile/Ch.net,souci pocket bank et probleme gab
"Améliorer l'offre crédit(taux,process,time)",souci poket bank
Frais élevés des produits et services,les prélèvements
Application Mobile/Ch.net,commissions élevés
Service en agence,l'effectif d'agence
Application Mobile/Ch.net,retard de la comptabilisation
Service en agence,souci système d'agence
Service en agence,comportement personnels
Service en agence,"comportement agence , agence hay saada  (fès )"
Application Mobile/Ch.net,annulation des virements
Service en agence,appel coupé
Problèmes Gab,crédit immobilier
Service en agence,dépôt de chèque
Service en agence,traitement dans n'importe agence
Application Mobile/Ch.net,les paiements internet
Service en agence,les alertes sms
Application Mobile/Ch.net,la gratuite des services pocket bank
Application Mobile/Ch.net,ajouter une rubrique au niveau du pocket bank qui montre tous les taux d'intérêts pour les crédits
Frais élevés des produits et services,les prélèvements injustifié
Service en agence,rapidité de traitement
Application Mobile/Ch.net,develepopement pocket bank
"Améliorer l'offre crédit(taux,process,time)",des facilites
Problèmes Gab,la bourse en ligne
Service en agence,état d'esprit
Frais élevés des produits et services,commission sms
Service en agence,manque personnels
Service en agence,agence deplace et des prelevements injustifier
Attente en agence,temps d'attente dans la caisse
Attente en agence,manque de personnel au niveau des agences
Frais élevés des produits et services,améliorer l'offre crédit
Attente en agence,temps d'attente dans la caisse
Attente en agence,manque d'effectif
Service en agence,panne du système
Problèmes Gab,plafond retrait
Attente en agence,manque de personnel
"Améliorer l'offre crédit(taux,process,time)",pour les retraites
Service en agence,aucune suggestion
Service en agence,monetique
Problèmes Gab,paiement
Service en agence,créer une agence dans hay mohammedi
Service en agence,l'agence ne réponds pas au téléphone
Service en agence,traitement dans n'importe d'agence
Service en agence,système
Problèmes Gab,rajouter des agences de permanence
Problèmes Gab,manque personnels
Application Mobile/Ch.net,sms
Problèmes Gab,manque de guichets automatiques
Application Mobile/Ch.net,sms
Attente en agence,manque personnels
Frais élevés des produits et services,les prélèvements
Application Mobile/Ch.net,alerte email
Application Mobile/Ch.net,comptabilisation des opérations instantanément
Application Mobile/Ch.net,attestations rib
Problèmes Gab,retrait au niveau d'autres agences
Attente en agence,manque de personnel à l'agence
"Améliorer l'offre crédit(taux,process,time)",manque de personnel au niveau de l'agence
Attente en agence,manque personnels
Service en agence,traitement de certaines opérations sans se déplacer à l'agence
Service en agence,comportement inapproprié
Service en agence,augmenter le chiffre des agences
Service en agence,versement en agence
Problèmes Gab,pour les weekends
Application Mobile/Ch.net,app pocket bank
Service en agence,manque personnel
Service en agence,souci réseau
Application Mobile/Ch.net,mise à jour
Application Mobile/Ch.net,crédit
Frais élevés des produits et services,plafond de retrait par carte
Service en agence,aucune suggestion
Application Mobile/Ch.net,retard de la comptabilisation
Problèmes Gab,montant 200 dh
"Améliorer l'offre crédit(taux,process,time)",monétique
Application Mobile/Ch.net,digitalisation
Service en agence,service a distance
Service en agence,service dans n'importe quelle agence dans la même ville
Application Mobile/Ch.net,développement pocket bank
Application Mobile/Ch.net,retard comptabilisation application
Attente en agence,manque personnels
Service en agence,traitement des demandes a distance
Service en agence,comportement personnels
Service en agence,retrait au niveau d'agence sans frais
Service en agence,frais ouverture compte
Frais élevés des produits et services,disponibilite d'agence merzouga
Application Mobile/Ch.net,retard comptabilisation
Application Mobile/Ch.net,disponibilité plus de marchand au niveau d'application (oncf...)
Application Mobile/Ch.net,retard de comptabilisation
Application Mobile/Ch.net,retard de la comptabilisation
Service en agence,amélioration de service
Application Mobile/Ch.net,retard comptabilisation
Application Mobile/Ch.net,retard comptabilisation application
Service en agence,retard de comptabilisation
Application Mobile/Ch.net,souci virement
Application Mobile/Ch.net,sms
Service en agence,systeme
Application Mobile/Ch.net,sms
Frais élevés des produits et services,service client
Service en agence,avoir une agence en permanence le samedi
Frais élevés des produits et services,les prélèvements injustifié
Attente en agence,manque personnels
Service en agence,disponibilite chaabi bank
Service en agence,*amélioration platforme bp bourse
Service en agence,service a distance
Service en agence,banque unique
Frais élevés des produits et services,les frais services
Service en agence,retard de disponibilité des documents au niveau de l'agence
Service en agence,srvices a distance
Attente en agence,manque de personnel
Application Mobile/Ch.net,comportement personnels
Service en agence,disponibilite d'agence
Application Mobile/Ch.net,digital
Service en agence,comportement de personnel
Attente en agence,manque de personnels
Application Mobile/Ch.net,digital
Application Mobile/Ch.net,retard de comptabilisation
Service en agence,comportement personnel
Frais élevés des produits et services,des virements instantané
Application Mobile/Ch.net,mise à jour des transactions
Frais élevés des produits et services,r
Attente en agence,digitalysation des viressement
Application Mobile/Ch.net,disponobilité plus des marchands a l'application / possibilité de transferé les fonds de paypal vers le  compte
"Améliorer l'offre crédit(taux,process,time)",service de credit
Application Mobile/Ch.net,sms
Service en agence,comportement personnels
Service en agence,facilité les tâches au niveau de l'agence
Problèmes Gab,augmentation de plafond de retrait journalière sur la carte la prima
Problèmes Gab,non réception des courriels postale
Service en agence,amélioration de service en ligne
Service en agence,comportement de personnel
Service en agence,amélioration de service
Service en agence,amélioration de service entre les agences
Application Mobile/Ch.net,retard de la comptabilisation / disponibilité des offres monétique
Service en agence,souci de cnx
Service en agence,des facilites
Service en agence,amélioration de service entre les agences
